Number of patients in each hospital given their age group. Patients in queue is the total for all age groups, and prints the same value for all age groups.
Time,AgeGroup,H_Achterhoek,H_Agglomeratie_s_Gravenhage,H_AgglomeratieHaarlem,H_AgglomeratieLeidenenBollenstreek,H_Alkmaarenomgeving,H_Arnhem_Nijmegen,H_DelftenWestland,H_Delfzijlenomgeving,H_Flevoland,H_Groot_Amsterdam,H_Groot_Rijnmond,H_HetGooienVechtstreek,H_IJmond,H_KopvanNoord_Holland,H_Midden_Limburg,H_Midden_Noord_Brabant,H_Noord_Drenthe,H_Noord_Friesland,H_Noord_Limburg,H_Noord_Overijssel,H_Noordoost_Noord_Brabant,H_Oost_Groningen,H_Oost_Zuid_Holland,H_OverigGroningen,H_OverigZeeland,H_Twente,H_Utrecht,H_Veluwe,H_West_Noord_Brabant,H_Zaanstreek,H_Zeeuwsch_Vlaanderen,H_Zuid_Limburg,H_Zuidoost_Drenthe,H_Zuidoost_Friesland,H_Zuidoost_Noord_Brabant,H_Zuidoost_Zuid_Holland,H_Zuidwest_Drenthe,H_Zuidwest_Friesland,H_Zuidwest_Gelderland,H_Zuidwest_Overijssel,Patients in queue
0,Age_0_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Age_10_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Age_20_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Age_30_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Age_40_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Age_50_59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Age_60_69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Age_70_79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Age_80_150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Age_0_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
