AGEGROUP,Time,HEALTHY,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,INFECTED_SYMPTOMS_MILD,INFECTED_SYMPTOMS_SEVERE_ICpossible,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,CURED,DEAD,NAME,OBJECTID
AGE_0_18,0,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,0,94417,0,0,0,0,0,0,0,Achterhoek,16
AGE_35_45,0,44768,1,0,0,0,0,0,0,Achterhoek,16
AGE_45_65,0,78162,0,0,0,0,0,0,0,Achterhoek,16
AGE_65_85,0,78060,0,0,0,0,0,0,0,Achterhoek,16
AGE_85_100,0,28217,0,0,0,0,0,0,0,Achterhoek,16
AGE_0_18,1,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,1,94417,0,0,0,0,0,0,0,Achterhoek,16
AGE_35_45,1,44768,0,0,0,0,0,1,0,Achterhoek,16
AGE_45_65,1,78162,0,0,0,0,0,0,0,Achterhoek,16
AGE_65_85,1,78060,0,0,0,0,0,0,0,Achterhoek,16
AGE_85_100,1,28217,0,0,0,0,0,0,0,Achterhoek,16
AGE_0_18,2,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,2,94417,0,0,0,0,0,0,0,Achterhoek,16
AGE_35_45,2,44768,0,0,0,0,0,1,0,Achterhoek,16
AGE_45_65,2,78162,0,0,0,0,0,0,0,Achterhoek,16
AGE_65_85,2,78060,0,0,0,0,0,0,0,Achterhoek,16
AGE_85_100,2,28217,0,0,0,0,0,0,0,Achterhoek,16
AGE_0_18,3,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,3,94417,0,0,0,0,0,0,0,Achterhoek,16
AGE_35_45,3,44768,0,0,0,0,0,1,0,Achterhoek,16
AGE_45_65,3,78162,0,0,0,0,0,0,0,Achterhoek,16
AGE_65_85,3,78060,0,0,0,0,0,0,0,Achterhoek,16
AGE_85_100,3,28217,0,0,0,0,0,0,0,Achterhoek,16
AGE_0_18,4,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,4,94417,0,0,0,0,0,0,0,Achterhoek,16
AGE_35_45,4,44768,0,0,0,0,0,1,0,Achterhoek,16
AGE_45_65,4,78162,0,0,0,0,0,0,0,Achterhoek,16
AGE_65_85,4,78060,0,0,0,0,0,0,0,Achterhoek,16
AGE_85_100,4,28217,0,0,0,0,0,0,0,Achterhoek,16
AGE_0_18,5,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,5,94416,1,0,0,0,0,0,0,Achterhoek,16
AGE_35_45,5,44768,0,0,0,0,0,1,0,Achterhoek,16
AGE_45_65,5,78162,0,0,0,0,0,0,0,Achterhoek,16
AGE_65_85,5,78060,0,0,0,0,0,0,0,Achterhoek,16
AGE_85_100,5,28217,0,0,0,0,0,0,0,Achterhoek,16
AGE_0_18,6,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,6,94415,2,0,0,0,0,0,0,Achterhoek,16
AGE_35_45,6,44768,0,0,0,0,0,1,0,Achterhoek,16
AGE_45_65,6,78162,0,0,0,0,0,0,0,Achterhoek,16
AGE_65_85,6,78060,0,0,0,0,0,0,0,Achterhoek,16
AGE_85_100,6,28217,0,0,0,0,0,0,0,Achterhoek,16
AGE_0_18,7,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,7,94415,1,1,0,0,0,0,0,Achterhoek,16
AGE_35_45,7,44768,0,0,0,0,0,1,0,Achterhoek,16
AGE_45_65,7,78162,0,0,0,0,0,0,0,Achterhoek,16
AGE_65_85,7,78059,1,0,0,0,0,0,0,Achterhoek,16
AGE_85_100,7,28217,0,0,0,0,0,0,0,Achterhoek,16
AGE_0_18,8,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,8,94415,1,1,0,0,0,0,0,Achterhoek,16
AGE_35_45,8,44768,0,0,0,0,0,1,0,Achterhoek,16
AGE_45_65,8,78162,0,0,0,0,0,0,0,Achterhoek,16
AGE_65_85,8,78059,0,0,0,0,0,1,0,Achterhoek,16
AGE_85_100,8,28217,0,0,0,0,0,0,0,Achterhoek,16
AGE_0_18,9,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,9,94415,0,0,0,0,0,2,0,Achterhoek,16
AGE_35_45,9,44767,1,0,0,0,0,1,0,Achterhoek,16
AGE_45_65,9,78162,0,0,0,0,0,0,0,Achterhoek,16
AGE_65_85,9,78059,0,0,0,0,0,1,0,Achterhoek,16
AGE_85_100,9,28217,0,0,0,0,0,0,0,Achterhoek,16
AGE_0_18,10,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,10,94415,0,0,0,0,0,2,0,Achterhoek,16
AGE_35_45,10,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,10,78161,1,0,0,0,0,0,0,Achterhoek,16
AGE_65_85,10,78059,0,0,0,0,0,1,0,Achterhoek,16
AGE_85_100,10,28217,0,0,0,0,0,0,0,Achterhoek,16
AGE_0_18,11,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,11,94415,0,0,0,0,0,2,0,Achterhoek,16
AGE_35_45,11,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,11,78161,1,0,0,0,0,0,0,Achterhoek,16
AGE_65_85,11,78059,0,0,0,0,0,1,0,Achterhoek,16
AGE_85_100,11,28217,0,0,0,0,0,0,0,Achterhoek,16
AGE_0_18,12,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,12,94415,0,0,0,0,0,2,0,Achterhoek,16
AGE_35_45,12,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,12,78161,1,0,0,0,0,0,0,Achterhoek,16
AGE_65_85,12,78059,0,0,0,0,0,1,0,Achterhoek,16
AGE_85_100,12,28217,0,0,0,0,0,0,0,Achterhoek,16
AGE_0_18,13,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,13,94414,1,0,0,0,0,2,0,Achterhoek,16
AGE_35_45,13,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,13,78161,0,0,0,0,0,1,0,Achterhoek,16
AGE_65_85,13,78059,0,0,0,0,0,1,0,Achterhoek,16
AGE_85_100,13,28216,1,0,0,0,0,0,0,Achterhoek,16
